DIRECTORIO;TIP_FOR;P1;P1S1;P2;P2S1;P5;CTL_1;P8R;P9;P10R;P11R;P12;P13;P15R;P16S1;P16S2;P16S3;P16S4;P16S5;P16S6;P16S7;P16S8;P16S9;P17;P17S1;P17S2;P17S3;P17S4;P17S5;P17S6;P17S7;P17S8;P17S9;P17S10;P18;P19;P20;P20S1;P20S2;P20S3;P20S4;P20S5;P20S1A1;P20S2A1;P20S3A1;P20S4A1;P20S5A1;P21R;P22;P23;P23S1R;P24;P25;P26;P26S1;P26S2;P26S3;P26S4;P26S5;P26S6;P26_1;P26_2S1;P26_2S2;P26_2S3;P26_2S4;P26_2S5;P26_2S6;P26_2S7;P26_2S8;P27;P28R;P29;P30;P30S1;P30S2;P30S3;P30S4;P30S5;P30S6;P30S7;P30S8;P30S9;P30S1A1;P30S2A1;P30S3A1;P30S4A1;P30S5A1;P30S6A1;P30S7A1;P30S8A1;P30S9A1;P30_1;P30_2;P31;P32;P32S1;P32S2;P32S3;P32S4;P32S5;P32S6;P32S7;P32S8;P33;P33S1;P33S2;P33S3;P33S4;P33S5;P33S6;P33_1;P33_2;P33_2S1;P33_2S2;P33_2S3;P33_2S4;P33_2S5;P34;P35;P36R;P37S1;P37S2;P37S3;P37S4;P37S5;P37S6;P37S7;COMPLETA
123856;1;05;05001;1;09;2;1;63;1;3;2;1;3;2;4;4;4;1;3;3;2;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;2;;12;2;9;;2;2;1;2;2;2;3;;1;1;1;1;1;1;1;1;2;1;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;;;;;;;;;;;2;1;2;2;2;2;1;;2;2;2;2;2;1;;;;;;;;;;1
123857;1;68;68001;1;01;1;1;25;2;3;1;1;1;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;7;;0;1;1;;1;2;2;2;2;2;1;;1;1;;;;;1;1;3;1;;1;2;2;2;2;1;2;2;2;14;;;;;21;;;;6;3;1;2;;;;;;;1;;;1;2;2;2;1;2;1;;2;2;2;2;1;2;;;;;;;;;;1
123858;2;68;68001;1;02;1;1;30;2;3;1;1;1;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;7;;13;7;1;;1;2;2;2;2;2;1;;1;;;;;;;1;3;5;;1;1;1;1;2;1;2;2;2;11;11;11;11;;17;;;;6;1;2;;;;;;;;;;;1;2;2;2;2;2;1;;2;2;2;2;2;3;;;;;;;;;;1
123859;1;68;68001;1;11;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;50;1;;;;1;;;1
123860;1;68;68001;1;01;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;24;1;;;;;;;1
123861;1;68;68001;1;13;1;1;36;1;3;1;1;1;2;4;4;3;3;3;4;4;4;4;1;;;;;;1;;;1;;11;;;1;2;2;1;1;2;;;2;2;1;7;;20;7;9;;2;2;2;2;2;2;;;;;;;;;;1;2;5;;1;1;1;1;1;1;2;2;2;10;30;10;13;12;13;;;;6;1;2;;;;;;;;;;;1;2;2;2;1;2;1;;1;1;1;2;2;1;;;;;;;;;;1
123862;1;68;68001;1;13;1;1;34;1;3;2;1;1;1;4;4;4;4;4;3;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;7;;20;9;9;;2;2;2;2;2;2;;;;;;;;;;2;13;4;;1;1;1;2;2;1;2;2;2;11;14;14;;;20;;;;1;;1;2;;;;;;;1;1;;2;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
123863;1;68;68001;1;01;1;1;31;1;3;1;1;1;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;10;1;3;;2;2;2;2;2;2;;;;;;;;;;2;13;5;;1;2;1;2;2;1;2;2;2;12;;15;;;8;;;;1;;2;;;;;;;;;;;2;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
123864;1;05;05001;1;10;2;1;71;1;5;2;1;3;2;4;3;4;2;2;3;4;4;3;1;;;;;;;;;;1;1;1;;2;2;2;1;2;;;;1;;1;10;;60;4;9;;2;2;1;2;2;2;3;;1;1;1;1;;1;1;2;13;1;;1;2;2;2;2;2;2;2;2;12;;;;;;;;;1;;1;1;;;;;;;;;;2;2;2;2;2;2;1;;2;2;2;2;2;1;;;;;;;;;;1
123866;1;68;68001;1;15;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;27;;;;;1;;;1
123867;2;68;68001;1;01;1;1;28;1;3;1;1;1;2;4;4;4;4;4;4;4;2;4;1;;1;;;;;;;;;11;;;2;2;2;2;2;;;;;;1;1;;10;1;1;;2;2;2;2;2;2;;;;;;;;;;1;2;7;;1;2;1;2;2;1;2;2;2;11;;12;;;13;;;;6;1;1;2;;;;;;;1;;;2;2;1;2;1;2;2;;2;2;1;1;1;1;;;;;;;;;;1
123868;1;05;05001;1;10;2;1;53;2;3;1;1;3;2;2;4;2;4;4;2;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;11;;38;10;9;;2;1;1;2;2;2;3;;1;1;;;1;1;1;2;1;1;;2;2;2;2;1;2;2;2;2;;;;;15;;;;;5;;1;1;;;;;;;;;;1;1;2;2;1;2;2;;2;2;2;2;2;1;;;;;;;;;;1
123869;1;68;68001;1;03;1;1;38;1;5;2;1;1;2;4;4;3;2;4;3;4;4;3;1;1;;;;;;;1;;;1;2;;2;2;2;2;2;;;;;;2;7;;28;9;9;;2;1;1;2;2;1;6;1;1;;;;;;1;1;2;9;;1;2;1;1;2;1;2;2;1;18;;18;12;;13;;;18;6;2;2;;;;;;;;;;;2;2;1;2;2;2;1;;2;2;2;1;1;1;;;;;;;;;;1
123870;1;68;68001;1;15;1;1;49;1;3;2;1;1;2;4;4;2;4;2;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;2;;30;2;3;;2;2;2;2;1;2;5;;1;;;;;;1;1;2;5;;1;2;1;2;2;1;2;2;2;15;;17;;;18;;;;3;;2;;;;;;;;;;;2;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
123871;1;05;05001;1;09;2;1;62;1;3;1;1;3;2;4;4;4;3;3;2;2;3;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;20;11;9;;2;2;1;2;2;2;3;;1;1;1;1;1;1;1;2;13;5;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;;;;;;;;;;2;2;2;1;1;2;1;;2;2;2;2;1;1;;;;;;;;;;1
123872;2;68;68001;1;01;1;1;35;1;3;1;1;1;2;4;4;3;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;2;;8;1;4;;1;2;2;2;2;2;1;1;1;1;;;;;;1;4;5;;2;2;2;2;2;1;2;2;2;;;;;;22;;;;6;1;1;2;1;;;;;;;;;1;1;2;2;2;2;1;;2;2;2;2;2;1;;;;;;;;;;1
123873;1;68;68001;1;03;1;1;48;1;3;1;1;1;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;2;1;3;;2;1;2;2;2;2;2;;1;;;;;;;1;3;5;;1;2;1;2;2;1;2;2;2;12;;14;;;16;;;;6;1;1;2;;;;;;;1;;;2;2;2;2;2;2;1;;2;2;2;2;2;1;;;;;;;;;;1
123874;1;68;68001;1;15;1;1;62;1;3;2;1;1;2;2;4;4;3;3;4;4;3;4;1;;;;;;;;;;1;1;1;;2;2;2;2;2;;;;;;1;5;;20;4;9;;2;1;2;1;2;2;4;;1;1;;;;1;1;1;2;5;;2;1;2;2;2;2;2;2;2;;13;;;;;;;;2;;2;;;;;;;;;;;2;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
123875;1;05;05001;1;10;2;1;40;1;3;1;1;2;2;4;4;4;4;3;4;4;4;4;1;;;;;;;;;1;;1;1;;2;2;2;1;2;;;;1;;1;2;;5;4;1;;2;2;1;2;2;2;3;;1;1;;;;1;1;1;3;1;;2;2;1;2;2;2;2;2;2;;;13;;;;;;;3;;2;;;;;;;;;;;1;1;1;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
123876;2;68;68001;1;01;1;1;29;1;3;1;1;2;1;4;4;2;4;4;4;4;4;4;1;1;;;1;1;;;;;;9;;;2;2;2;2;2;;;;;;1;3;;22;7;3;;2;2;1;2;1;2;3;;;;1;;;;;1;3;5;;1;2;2;2;2;2;2;2;2;12;;;;;;;;;1;;2;;;;;;;;;;;1;2;1;2;2;2;1;;2;2;2;2;2;1;;;;;;;;;;1
