DIRECTORIO;TIP_FOR;P1;P1S1;P2;P2S1;P5;CTL_1;P8R;P9;P10R;P11R;P12;P13;P15R;P16S1;P16S2;P16S3;P16S4;P16S5;P16S6;P16S7;P16S8;P16S9;P17;P17S1;P17S2;P17S3;P17S4;P17S5;P17S6;P17S7;P17S8;P17S9;P17S10;P18;P19;P20;P20S1;P20S2;P20S3;P20S4;P20S5;P20S1A1;P20S2A1;P20S3A1;P20S4A1;P20S5A1;P21R;P22;P23;P23S1R;P24;P25;P26;P26S1;P26S2;P26S3;P26S4;P26S5;P26S6;P26_1;P26_2S1;P26_2S2;P26_2S3;P26_2S4;P26_2S5;P26_2S6;P26_2S7;P26_2S8;P27;P28R;P29;P30;P30S1;P30S2;P30S3;P30S4;P30S5;P30S6;P30S7;P30S8;P30S9;P30S1A1;P30S2A1;P30S3A1;P30S4A1;P30S5A1;P30S6A1;P30S7A1;P30S8A1;P30S9A1;P30_1;P30_2;P31;P32;P32S1;P32S2;P32S3;P32S4;P32S5;P32S6;P32S7;P32S8;P33;P33S1;P33S2;P33S3;P33S4;P33S5;P33S6;P33_1;P33_2;P33_2S1;P33_2S2;P33_2S3;P33_2S4;P33_2S5;P34;P35;P36R;P37S1;P37S2;P37S3;P37S4;P37S5;P37S6;P37S7;COMPLETA
123878;2;68;68001;1;17;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;25;1;;;;;;;1
123879;1;05;05001;1;10;2;1;43;1;3;1;1;3;2;3;4;2;3;4;2;4;4;4;2;;;;;;;;;;;;;;2;2;2;1;2;;;;1;;1;1;;33;1;1;;1;2;1;2;2;2;3;1;1;1;1;1;1;1;1;2;2;4;;1;1;1;2;2;1;2;1;2;16;17;17;;;17;;17;;3;;1;1;;;;;;;;;;2;2;2;2;2;2;1;;1;2;2;2;2;1;;;;;;;;;;1
123880;1;68;68001;1;01;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;32;1;;;;;;;1
123881;1;68;68001;1;06;1;1;22;1;3;2;1;1;2;4;4;4;4;4;4;4;3;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;1;1;2;;1;1;2;2;2;2;1;1;1;1;;;;;;1;3;7;;1;2;1;2;2;1;2;2;2;14;;16;;;19;;;;6;1;2;;;;;;;;;;;2;2;2;2;2;2;1;;2;2;2;2;2;1;;;;;;;;;;1
123882;1;68;68001;1;09;1;1;58;1;3;1;1;1;2;4;4;4;4;4;4;4;4;4;1;;;;;;;;;;1;3;1;;2;2;2;2;2;;;;;;1;7;;40;4;6;;1;2;2;2;2;2;1;1;1;;;;;;;1;2;1;;1;2;2;2;2;1;2;2;2;12;;;;;12;;;;1;;2;;;;;;;;;;;2;2;2;2;2;2;1;;2;2;2;2;2;1;;;;;;;;;;1
123883;1;05;05001;1;10;2;1;47;1;3;1;1;3;2;2;4;2;4;4;4;4;4;4;2;;;;;;;;;;;;;;1;2;2;1;2;1;;;1;;1;6;;37;7;9;;2;2;1;2;2;2;3;;1;1;1;1;1;1;1;2;13;9;;1;2;2;2;2;2;2;2;2;10;;;;;;;;;1;;1;1;;;;;;;;;;2;2;2;2;2;2;1;;2;2;2;1;1;1;;;;;;;;;;1
123884;2;68;68001;1;01;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;32;;;;;1;;;1
123885;1;68;68001;1;01;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;30;1;;;;;;;1
123886;1;05;05001;1;09;2;1;35;1;3;2;1;3;2;4;4;4;1;4;4;2;4;4;1;;;;;;;;;;1;3;1;;2;2;2;2;2;;;;;;1;11;;0;10;1;;2;2;1;2;2;2;3;;1;1;1;1;;1;1;1;4;9;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;;;;;;;;;;;2;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
123887;1;68;68001;1;09;1;1;36;1;3;1;1;1;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;9;1;9;;2;2;2;2;2;2;;;;;;;;;;1;2;4;;1;1;1;2;2;1;1;1;1;12;18;18;;;18;18;18;18;6;1;2;;;;;;;;;;;2;2;2;2;2;2;1;;2;2;2;2;2;1;;;;;;;;;;1
123888;2;68;68001;1;04;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;45;;1;;;1;;;1
123889;2;68;68001;1;01;1;1;57;1;3;1;1;1;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;11;;20;2;3;;1;1;2;2;1;1;2;1;1;;;;;;1;2;13;9;;1;2;1;2;2;1;2;2;2;20;;27;;;30;;;;6;1;2;;;;;;;;;;;2;2;2;2;2;2;1;;2;2;2;2;2;1;;;;;;;;;;1
123890;1;68;68001;1;15;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;26;1;;;;;;;1
123891;2;68;68001;1;01;1;1;21;1;3;1;1;1;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;7;;2;1;3;;1;2;2;2;2;2;1;;;;;;;;1;1;2;4;;2;2;2;2;2;1;2;2;2;;;;;;19;;;;6;1;2;;;;;;;;;;;2;2;2;2;2;2;1;;2;2;2;2;2;1;;;;;;;;;;1
123892;1;05;05001;1;09;2;1;60;1;3;2;1;3;2;4;4;3;3;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;7;;0;7;3;;2;2;1;2;2;2;3;;1;1;1;;;1;1;1;3;9;;1;1;2;2;2;2;2;2;2;12;15;;;;;;;;1;;2;;;;;;;;;;;2;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
123893;2;68;68001;1;01;1;1;32;1;5;1;1;1;2;4;4;2;4;2;2;4;2;2;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;7;;20;11;9;;2;2;2;2;2;2;;;;;;;;;;1;2;4;;1;2;1;2;1;1;2;1;2;15;;15;;15;15;;15;;6;1;2;;;;;;;;;;;1;2;1;1;1;2;1;;1;2;2;1;1;1;;;;;;;;;;1
123894;1;68;68001;1;15;1;1;38;1;5;1;1;2;2;4;3;4;4;4;3;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;22;2;9;;2;2;2;2;2;2;;;;;;;;;;1;2;4;;2;2;2;1;2;1;2;2;2;;;;22;;23;;;;6;2;2;;;;;;;;;;;2;2;2;2;2;2;1;;2;2;2;2;2;1;;;;;;;;;;1
123895;2;68;68001;1;01;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;22;;1;;;;;;1
123896;1;05;05001;1;10;2;1;53;2;3;2;1;3;2;4;4;2;4;4;4;4;4;4;2;;;;;;;;;;;;;;1;2;2;1;2;1;;;1;;1;5;;24;1;9;;2;2;1;2;2;2;3;;1;1;1;1;1;1;1;1;2;1;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;;;;;;;;;;2;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
123897;1;68;68001;1;13;1;1;39;1;3;1;1;1;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;20;1;3;;2;2;2;2;2;2;;;;;;;;;;1;2;1;;1;2;2;2;2;1;2;2;2;12;;;;;13;;;;6;1;2;;;;;;;;;;;2;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
123898;1;68;68001;1;11;1;1;30;1;3;1;1;1;2;4;4;4;4;4;4;4;4;4;1;;;;;;1;;;;;4;;;1;2;2;2;2;2;;;;;1;7;;15;5;1;;2;1;2;2;1;2;2;;1;1;;;;;1;1;3;5;;1;2;1;2;2;1;2;2;2;12;;15;;;15;;;;3;;1;1;;;;;;;;;;2;2;2;2;2;2;1;;2;2;2;2;2;1;;;;;;;;;;1
123899;2;68;68001;1;01;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;28;;;;;;;1;1
123900;1;05;05001;1;09;2;1;39;1;3;1;1;3;2;4;4;4;1;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;15;4;1;;2;2;1;2;2;2;3;;1;1;1;1;1;1;1;1;3;5;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;;;;;;;;;;1;2;1;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
123901;1;68;68001;1;01;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;25;;;;;1;;;1
